Afghanistan,"
total: 42,150 km
paved: 12,350 km
unpaved: 29,800 km (2006)
"
Albania,"
total: 18,000 km
paved: 7,020 km
unpaved: 10,980 km (2002)
"
Algeria,"
total: 113,655 km
paved: 87,605 km (includes 645 km of expressways)
unpaved: 26,050 km (2010)
"
American Samoa,"
total: 241 km (2008)
"
Andorra,"
total: 320 km (2015)
"
Angola,"
total: 51,429 km
paved: 5,349 km
unpaved: 46,080 km (2001)
"
Anguilla,"
total: 175 km
paved: 82 km
unpaved: 93 km (2004)
"
Antigua and Barbuda,"
total: 1,170 km
paved: 386 km
unpaved: 784 km (2011)
"
Argentina,"
total: 231,374 km
paved: 69,412 km (includes 734 km of expressways)
unpaved: 161,962 km (2004)
"
Armenia,"
total: 7,792 km (2013)
"
Australia,"
total: 823,217 km
paved: 356,343 km
unpaved: 466,874 km (2011)
"
Austria,"
total: 138,696 km
paved: 138,696 km (includes 2,208 km of expressways) (2016)
"
Azerbaijan,"
total: 52,942 km
paved: 26,789 km
unpaved: 26,153 km (2006)
"
"Bahamas, The","
total: 2,700 km
paved: 1,620 km
unpaved: 1,080 km (2011)
"
Bahrain,"
total: 4,122 km
paved: 3,392 km
unpaved: 730 km (2010)
"
Bangladesh,"
total: 21,269 km
paved: 2,021 km
unpaved: 19,248 km (2010)
"
Barbados,"
total: 1,700 km
paved: 1,700 km (2015)
"
Belarus,"
total: 86,392 km
paved: 74,651 km
unpaved: 11,741 km (2010)
"
Belgium,"
total: 154,012 km
paved: 120,514 km (includes 1,756 km of expressways)
unpaved: 33,498 km (2010)
"
Belize,"
total: 2,870 km
paved: 488 km
unpaved: 2,382 km (2011)
"
Benin,"
total: 16,000 km
paved: 1,400 km
unpaved: 14,600 km (2006)
"
Bermuda,"
total: 447 km
paved: 447 km
note: 225 km public roads; 222 km private roads (2010)
"
Bhutan,"
total: 10,578 km
paved: 2,975 km (includes 2,180 km of national highways)
unpaved: 7,603 km (2013)
note: a more recent figure for 2015 lists 11,177 km for total roadway length, but no breakdown of paved or unpaved
"
Bolivia,"
total: 90,568 km
paved: 9,792 km
unpaved: 80,776 km (2017)
"
Bosnia and Herzegovina,"
total: 22,926 km
paved: 19,426 km (4,652 km of interurban roads)
unpaved: 3,500 km (2010)
"
Botswana,"
total: 17,916 km
note: includes 8,916 km of Public Highway Network roads (6,116 km paved and 2,800 km unpaved) and 9,000 km of District Council roads (2011)
"
Brazil,"
total: 1,580,964 km
paved: 212,798 km
unpaved: 1,368,166 km
note: does not include urban roads (2010)
"
British Indian Ocean Territory,"
note: short section of paved road between port and airfield on Diego Garcia
"
British Virgin Islands,"
total: 200 km
paved: 200 km (2007)
"
Brunei,"
total: 3,029 km
paved: 2,425 km
unpaved: 604 km (2010)
"
Bulgaria,"
total: 19,512 km
paved: 19,235 km (includes 458 km of expressways)
unpaved: 277 km
note: does not include Category IV local roads (2011)
"
Burkina Faso,"
total: 15,272 km
note: does not include urban roads (2010)
"
Burma,"
total: 34,377 km (includes 358 km of expressways) (2010)
"
Burundi,"
total: 12,322 km
paved: 1,500 km
unpaved: 10,822 km (2016)
"
Cabo Verde,"
total: 1,350 km
paved: 932 km
unpaved: 418 km (2013)
"
Cambodia,"
total: 44,709 km
paved: 3,607 km
unpaved: 41,102 km (2010)
"
Cameroon,"
total: 51,350 km
paved: 4,108 km
unpaved: 47,242 km
note: there are 28,857 km of national roads (2011)
"
Canada,"
total: 1,042,300 km
paved: 415,600 km (includes 17,000 km of expressways)
unpaved: 626,700 km (2011)
"
Cayman Islands,"
total: 785 km
paved: 785 km (2007)
"
Central African Republic,"
total: 20,278 km
paved: 1,385 km
unpaved: 18,893 km (2010)
"
Chad,"
total: 40,000 km
note: consists of 25,000 km of national and regional roads and 15,000 km of local roads; 206 km of urban roads are paved (2011)
"
Chile,"
total: 77,764 km
paved: 18,119 km (includes 2,387 km of expressways)
unpaved: 59,645 km (2010)
"
China,"
total: 4,577,300 km
paved: 4,046,300 km (includes 123,500 km of expressways)
unpaved: 531,000 km (2015)
"
Christmas Island,"
total: 140 km
paved: 30 km
unpaved: 110 km (2011)
"
Cocos (Keeling) Islands,"
total: 22 km
paved: 10 km
unpaved: 12 km (2007)
"
Colombia,"
total: 204,855 km (2015)
"
Comoros,"
total: 880 km
paved: 673 km
unpaved: 207 km (2002)
"
"Congo, Democratic Republic of the","
total: 153,497 km
paved: 2,794 km
unpaved: 150,703 km (2004)
"
"Congo, Republic of the","
total: 17,000 km
paved: 1,212 km
unpaved: 15,788 km (2006)
"
Cook Islands,"
total: 320 km
paved: 33 km
unpaved: 287 km (2003)
"
Costa Rica,"
total: 39,018 km
paved: 10,133 km
unpaved: 28,885 km (2010)
"
Cote d'Ivoire,"
total: 81,996 km
paved: 6,502 km
unpaved: 75,494 km
note: includes intercity and urban roads; another 20,000 km of dirt roads are in poor condition and 150,000 km of dirt roads are impassable (2007)
"
Croatia,"
total: 26,958 km (includes 1,416 km of expressways) (2015)
"
Cuba,"
total: 60,858 km
paved: 29,820 km (includes 639 km of expressways)
unpaved: 31,038 km (2001)
"
Curacao,"
total: 550 km
"
Cyprus,"
total: 20,006 km
government control: 13,006 km (includes 2,277 km of expressways)
paved: 8,564 km
unpaved: 4,442 km
Turkish Cypriot control: 7,000 km (2011)
"
Czechia,"
total: 130,661 km (includes urban roads)
paved: 130,661 km (includes 730 km of expressways) (2011)
"
Denmark,"
total: 74,558 km
paved: 74,558 km (includes 1,205 km of expressways) (2017)
"
Djibouti,"
total: 3,065 km
paved: 1,379 km
unpaved: 1,686 km (2000)
"
Dominica,"
total: 1,512 km
paved: 762 km
unpaved: 750 km (2010)
"
Dominican Republic,"
total: 19,705 km
paved: 9,872 km
unpaved: 9,833 km (2002)
"
Ecuador,"
total: 43,670 km
paved: 6,472 km
unpaved: 37,198 km (2007)
"
Egypt,"
total: 137,430 km
paved: 126,742 km (includes 838 km of expressways)
unpaved: 10,688 km (2010)
"
El Salvador,"
total: 6,979 km
paved: 4,414 km (includes 341 km of expressways)
unpaved: 2,565 km (2016)
"
Equatorial Guinea,"
total: 2,880 km (2000)
"
Eritrea,"
total: 4,010 km
paved: 874 km
unpaved: 3,136 km (2000)
"
Estonia,"
total: 58,412 km (includes urban roads)
paved: 10,427 km (includes 115 km of expressways)
unpaved: 47,985 km (2011)
"
Ethiopia,"
total: 110,414 km
paved: 14,354 km
unpaved: 96,060 km (2015)
"
European Union,"
total: 10,582,653 km (2013)
"
Falkland Islands (Islas Malvinas),"
total: 440 km
paved: 50 km
unpaved: 390 km (2008)
"
Faroe Islands,"
total: 960 km
note: those islands not commected by roads (bridges or tunnels) are connected by seven different ferry links operated by the nationally owned company SSL (2017)
"
Fiji,"
total: 3,440 km
paved: 1,686 km
unpaved: 1,754 km (2011)
"
Finland,"
total: 454,000 km
highways: 78,000 km (50,000 paved, including 700 km of expressways; 28,000 unpaved)
urban roads: 26,000 km
private and forest roads: 350,000 km (2012)
"
France,"
total: 1,028,446 km (metropolitan France)
paved: 1,028,446 km (includes 11,416 km of expressways)
note: not included are 5,100 km of roadways in overseas departments (2010)
"
French Polynesia,"
total: 2,590 km
paved: 1,735 km
unpaved: 855 km (1999)
"
Gabon,"
total: 9,170 km
paved: 1,097 km
unpaved: 8,073 km (2007)
"
"Gambia, The","
total: 3,740 km
paved: 711 km
unpaved: 3,029 km (2011)
"
Gaza Strip,"
note: see entry for the West Bank
"
Georgia,"
total: 19,109 km
paved: 19,109 km (includes 69 km of expressways) (2010)
"
Germany,"
total: 645,000 km
paved: 645,000 km (includes 12,800 km of expressways)
note: includes local roads (2010)
"
Ghana,"
total: 109,515 km
paved: 13,787 km
unpaved: 95,728 km (2009)
"
Gibraltar,"
total: 29 km
paved: 29 km (2007)
"
Greece,"
total: 116,960 km
paved: 41,357 km (includes 1,091 km of expressways)
unpaved: 75,603 km (2010)
"
Greenland,"
note: although there are short roads in towns, there are no roads between towns; inter-urban transport is either by sea or by air (2015)
"
Grenada,"
total: 1,127 km
paved: 687 km
unpaved: 440 km (2001)
"
Guam,"
total: 1,045 km (2008)
"
Guatemala,"
total: 17,621 km
paved: 7,489 km
unpaved: 10,132 km (includes 4,960 km of rural roads) (2016)
"
Guinea-Bissau,"
total: 3,455 km
paved: 965 km
unpaved: 2,490 km (2002)
"
Guinea,"
total: 44,348 km
paved: 4,342 km
unpaved: 40,006 km (2003)
"
Guyana,"
total: 7,970 km
paved: 590 km
unpaved: 7,380 km (2001)
"
Haiti,"
total: 4,266 km
paved: 768 km
unpaved: 3,498 km (2009)
"
Honduras,"
total: 14,742 km
paved: 3,367 km
unpaved: 11,375 km (1,543 km summer only)
note: an additional 8,951 km of non-official roads used by the coffee industry (2012)
"
Hong Kong,"
total: 2,100 km
paved: 2,100 km (2015)
"
Hungary,"
total: 203,601 km
paved: 77,087 km (includes 1,582 km of expressways)
unpaved: 126,514 km (2014)
"
Iceland,"
total: 12,890 km
paved/oiled gravel: 4,782 km (excludes urban roads)
unpaved: 8,108 km (2012)
"
India,"
total: 4,699,024 km
note: includes 96,214 km of national highways and expressways, 147,800 km of state highways, and 4,455,010 km of other roads (2015)
"
Indonesia,"
total: 496,607 km
paved: 283,102 km
unpaved: 213,505 km (2011)
"
Iran,"
total: 198,866 km
paved: 160,366 km (includes 1,948 km of expressways)
unpaved: 38,500 km (2010)
"
Iraq,"
total: 59,623 km
paved: 59,623 km (includes Kurdistan Region) (2012)
"
Ireland,"
total: 96,036 km
paved: 96,036 km (includes 1,224 km of expressways) (2014)
"
Isle of Man,"
total: 500 km (2008)
"
Israel,"
total: 18,566 km
paved: 18,566 km (includes 449 km of expressways) (2011)
"
Italy,"
total: 487,700 km
paved: 487,700 km (includes 6,700 km of expressways) (2007)
"
Jamaica,"
total: 22,121 km (includes 44 km of expressways)
paved: 16,148 km
unpaved: 5,973 km (2011)
"
Japan,"
total: 1,218,772 km
paved: 992,835 km (includes 8,428 km of expressways)
unpaved: 225,937 km (2015)
"
Jersey,"
total: 576 km (2010)
"
Jordan,"
total: 7,203 km
paved: 7,203 km (2011)
"
Kazakhstan,"
total: 97,418 km
paved: 87,140 km
unpaved: 10,278 km (2012)
"
Kenya,"
total: 161,452 km
paved: 14,420 km (8,500 km highways, 1,872 urban roads, and 4,048 rural roads)
unpaved: 147,032 km (2017)
"
Kiribati,"
total: 670 km (2011)
"
"Korea, North","
total: 25,554 km
paved: 724 km
unpaved: 24,830 km (2006)
"
"Korea, South","
total: 99,025 km
paved: 91,195 km (includes 4,193 km of expressways)
unpaved: 7,830 km (2015)
"
Kosovo,"
total: 2,003 km
paved: 1,883 km (includes 38 km of expressways)
unpaved: 120 km (2014)
"
Kuwait,"
total: 6,608 km (2010)
"
Kyrgyzstan,"
total: 34,000 km (2007)
"
Laos,"
total: 39,586 km
paved: 5,415 km
unpaved: 34,171 km (2009)
"
Latvia,"
total: 72,440 km
paved: 14,707 km
unpaved: 57,733 km (2013)
"
Lebanon,"
total: 6,970 km (includes 170 km of expressways) (2005)
"
Lesotho,"
total: 5,940 km
paved: 1,069 km
unpaved: 4,871 km (2011)
"
Liberia,"
total: 10,600 km
paved: 657 km
unpaved: 9,943 km (2000)
"
Libya,"
total: 100,024 km
paved: 57,214 km
unpaved: 42,810 km (2003)
"
Liechtenstein,"
total: 380 km
paved: 380 km (2012)
"
Lithuania,"
total: 84,166 km
paved: 72,297 km (includes 312 km of expressways)
unpaved: 11,869 km (2012)
"
Luxembourg,"
total: 2,899 km
paved: 2,899 km (includes 152 km of expressways) (2011)
"
Macau,"
total: 424 km
paved: 424 km (2014)
"
Macedonia,"
total: 14,182 km (includes 242 km of expressways)
paved: 9,633 km
unpaved: 4,549 km (2014)
"
Madagascar,"
total: 37,476 km
paved: 6,103 km
unpaved: 31,373 km (2010)
"
Malawi,"
total: 15,450 km
paved: 6,951 km
unpaved: 8,499 km (2011)
"
Malaysia,"
total: 144,403 km (excludes local roads)
paved: 116,169 km (includes 1,821 km of expressways)
unpaved: 28,234 km (2010)
"
Maldives,"
total: 88 km
paved roads: 88 km - 60 km in Male; 14 km on Addu Atolis; 14 km on Laamu
note: island roads are mainly compacted coral (2013)
"
Mali,"
total: 22,474 km
paved: 5,522 km
unpaved: 16,952 km (2009)
"
Malta,"
total: 3,096 km
paved: 2,704 km
unpaved: 392 km (2008)
"
Marshall Islands,"
total: 2,028 km
paved: 75 km
note: roads are mostly unimproved (2007)
"
Mauritania,"
total: 10,628 km
paved: 3,158 km
unpaved: 7,470 km (2010)
"
Mauritius,"
total: 2,428 km
paved: 2,379 km (includes 99 km of expressways)
unpaved: 49 km (2015)
"
Mexico,"
total: 377,660 km
paved: 137,544 km (includes 7,176 km of expressways)
unpaved: 240,116 km (2012)
"
"Micronesia, Federated States of","
total: 388 km
paved: 184 km
unpaved: 204 km (2015)
"
Moldova,"
total: 9,352 km
paved: 8,835 km
unpaved: 517 km (2012)
"
Monaco,"
total: 77 km
paved: 77 km (2010)
"
Mongolia,"
total: 49,249 km
paved: 4,800 km
unpaved: 44,449 km (2013)
"
Montenegro,"
total: 7,762 km
paved: 7,141 km
unpaved: 621 km (2010)
"
Montserrat,"
note: volcanic eruptions that began in 1995 destroyed most of the 227 km road system; a new road infrastructure has been built on the north end of the island (2017)
"
Morocco,"
total: 58,395 km
paved: 41,116 km (includes 1,080 km of expressways)
unpaved: 17,279 km (2010)
"
Mozambique,"
total: 31,083 km
paved: 7,365 km
unpaved: 23,718 km (2015)
"
Namibia,"
total: 44,138 km
paved: 6,387 km
unpaved: 37,751 km (2010)
"
Nauru,"
total: 30 km
paved: 24 km
unpaved: 6 km (2002)
"
Nepal,"
total: 27,990 km
paved: 11,890 km
unpaved: 16,100 km (2016)
"
Netherlands,"
total: 139,124 km (includes 3,654 km of expressways) (2016)
"
New Caledonia,"
total: 5,622 km (2006)
"
New Zealand,"
total: 94,902 km
paved: 62,759 km (includes 199 km of expressways)
unpaved: 32,143 km (2012)
"
Nicaragua,"
total: 23,897 km
paved: 3,346 km
unpaved: 20,551 km (2014)
"
Nigeria,"
total: 193,200 km
paved: 28,980 km
unpaved: 164,220 km (2004)
"
Niger,"
total: 18,949 km
paved: 3,912 km
unpaved: 15,037 km (2010)
"
Niue,"
total: 234 km
paved: 210 km (2017)
"
Norfolk Island,"
total: 80 km
paved: 53 km
unpaved: 27 km (2008)
"
Northern Mariana Islands,"
total: 536 km (2008)
"
Norway,"
total: 93,870 km (includes 393 km of expressways)
paved: 75,754 km
unpaved: 18,116 km (2013)
"
Oman,"
total: 60,230 km
paved: 29,685 km (includes 1,943 km of expressways)
unpaved: 30,545 km (2012)
"
Pakistan,"
total: 263,942 km
paved: 185,063 km (includes 708 km of expressways)
unpaved: 78,879 km (2014)
"
Panama,"
total: 15,137 km
paved: 6,351 km
unpaved: 8,786 km (2010)
"
Papua New Guinea,"
total: 9,349 km
paved: 3,000 km
unpaved: 6,349 km (2011)
"
Paraguay,"
total: 32,059 km
paved: 4,860 km
unpaved: 27,199 km (2010)
"
Peru,"
total: 140,672 km (18,699 km paved)
note: includes 24,593 km of national roads (14,748 km paved), 24,235 km of departmental roads (2,340 km paved), and 91,844 km of local roads (1,611 km paved) (2012)
"
Philippines,"
total: 216,387 km
paved: 61,093 km
unpaved: 155,294 km (2014)
"
Poland,"
total: 417,026 km
paved: 287,650 km (includes 1,492 km of expressways)
unpaved: 129,376 km (2014)
"
Portugal,"
total: 82,900 km
paved: 71,294 km (includes 2,613 km of expressways)
unpaved: 11,606 km (2008)
"
Puerto Rico,"
total: 26,862 km (includes 454 km of expressways) (2012)
"
Qatar,"
total: 9,830 km (2010)
"
Romania,"
total: 84,185 km
paved: 49,873 km (includes 337 km of expressways)
unpaved: 34,312 km (2012)
"
Russia,"
total: 1,283,387 km
paved: 927,721 km (includes 39,143 km of expressways)
unpaved: 355,666 km (2012)
"
Rwanda,"
total: 4,700 km
paved: 1,207 km
unpaved: 3,493 km (2012)
"
"Saint Helena, Ascension, and Tristan da Cunha","
total: 198 km (Saint Helena 138 km, Ascension 40 km, Tristan da Cunha 20 km)
paved: 168 km (Saint Helena 118 km, Ascension 40 km, Tristan da Cunha 10 km)
unpaved: 30 km (Saint Helena 20 km, Tristan da Cunha 10 km) (2002)
"
Saint Kitts and Nevis,"
total: 383 km
paved: 163 km
unpaved: 220 km (2002)
"
Saint Lucia,"
total: 1,210 km
paved: 847 km
unpaved: 363 km (2011)
"
Saint Pierre and Miquelon,"
total: 117 km
paved: 80 km
unpaved: 37 km (2009)
"
Saint Vincent and the Grenadines,"
total: 829 km
paved: 580 km
unpaved: 249 km (2003)
"
Samoa,"
total: 1,200 km
paved: 1,105 km
unpaved: 95 km (2017)
"
San Marino,"
total: 292 km
paved: 292 km (2006)
"
Sao Tome and Principe,"
total: 320 km
paved: 218 km
unpaved: 102 km (2000)
"
Saudi Arabia,"
total: 221,372 km
paved: 47,529 km (includes 3,891 km of expressways)
unpaved: 173,843 km (2006)
"
Senegal,"
total: 16,496 km
paved: 5,957 km (includes 72 km of expressways)
unpaved: 10,539 km (2017)
"
Serbia,"
total: 44,248 km
paved: 28,000 km (16,162 km state roads, out of which 741 km highways)
unpaved: 16,248 km (2016)
"
Seychelles,"
total: 526 km
paved: 514 km
unpaved: 12 km (2015)
"
Sierra Leone,"
total: 11,300 km
paved: 904 km
unpaved: 10,396 km (2002)
"
Singapore,"
total: 3,425 km
paved: 3,425 km (includes 161 km of expressways) (2012)
"
Sint Maarten,"
total: 53 km
"
Slovakia,"
total: 54,869 km (includes local roads, national roads, and 420 km of highways) (2012)
"
Slovenia,"
total: 38,985 km
paved: 38,985 km (includes 769 km of expressways) (2012)
"
Solomon Islands,"
total: 1,390 km
paved: 34 km
unpaved: 1,356 km
note: includes 920 km of private plantation roads (2011)
"
Somalia,"
total: 22,100 km
paved: 2,608 km
unpaved: 19,492 km (2000)
"
South Africa,"
total: 747,014 km
paved: 158,952 km
unpaved: 588,062 km (2014)
"
South Sudan,"
total: 7,000 km
note: most of the road network is unpaved and much of it is in disrepair; a 192-km paved road between the capital, Juba, and Nimule on the Ugandan border was constructed with USAID funds in 2012 (2012)
"
Spain,"
total: 683,175 km
paved: 683,175 km (includes 16,205 km of expressways) (2011)
"
Sri Lanka,"
total: 114,093 km
paved: 16,977 km
unpaved: 97,116 km (2010)
"
Sudan,"
total: 11,900 km
paved: 4,320 km
unpaved: 7,580 km (2000)
"
Suriname,"
total: 4,304 km
paved: 1,130 km
unpaved: 3,174 km (2003)
"
Swaziland,"
total: 3,594 km
paved: 1,078 km
unpaved: 2,516 km (2002)
"
Sweden,"
total: 573,134 km (includes 2,050 km of expressways)
paved: 140,100 km
unpaved: 433,034 km
note: includes 98,500 km of state roads, 433,034 km of private roads, and 41,600 km of municipal roads (2016)
"
Switzerland,"
total: 71,464 km
paved: 71,464 km (includes 1,415 of expressways) (2011)
"
Syria,"
total: 69,873 km
paved: 63,060 km
unpaved: 6,813 km (2010)
"
Taiwan,"
total: 42,520 km
paved: 42,078 km (includes 1,348 km of highways and 737 km of expressways)
unpaved: 442 km (2013)
"
Tajikistan,"
total: 27,767 km (2000)
"
Tanzania,"
total: 86,472 km
paved: 7,092 km
unpaved: 79,380 km (2010)
"
Thailand,"
total: 180,053 km (includes 450 km of expressways) (2006)
"
Timor-Leste,"
total: 6,040 km
paved: 2,600 km
unpaved: 3,440 km (2005)
"
Togo,"
total: 11,652 km
paved: 2,447 km
unpaved: 9,205 km (2007)
"
Tonga,"
total: 680 km
paved: 184 km
unpaved: 496 km (2011)
"
Trinidad and Tobago,"
total: 9,592 km
paved: 5,524 km
unpaved: 4,068 km (2015)
"
Tunisia,"
total: 19,418 km
paved: 14,756 km (includes 357 km of expressways)
unpaved: 4,662 km (2010)
"
Turkey,"
total: 385,754 km
paved: 352,268 km (includes 2,127 km of expressways)
unpaved: 33,486 km (2012)
"
Turkmenistan,"
total: 58,592 km
paved: 47,577 km
unpaved: 11,015 km (2002)
"
Turks and Caicos Islands,"
total: 121 km
paved: 24 km
unpaved: 97 km (2003)
"
Tuvalu,"
total: 8 km
paved: 8 km (2011)
"
Uganda,"
total: 20,000 km (excludes local roads)
paved: 3,264 km
unpaved: 16,736 km (2011)
"
Ukraine,"
total: 169,694 km
paved: 166,095 km (includes 17 km of expressways)
unpaved: 3,599 km (2012)
"
United Arab Emirates,"
total: 4,080 km
paved: 4,080 km (includes 253 km of expressways) (2008)
"
United Kingdom,"
total: 394,428 km
paved: 394,428 km (includes 3,519 km of expressways) (2009)
"
United States,"
total: 6,586,610 km
paved: 4,304,715 km (includes 76,334 km of expressways)
unpaved: 2,281,895 km (2012)
"
Uruguay,"
total: 77,732 km
paved: 7,743 km
unpaved: 69,989 km (2010)
"
Uzbekistan,"
total: 86,496 km
paved: 75,511 km
unpaved: 10,985 km (2000)
"
Vanuatu,"
total: 1,070 km
paved: 256 km
unpaved: 814 km (2000)
"
Venezuela,"
total: 96,189 km (2014)
"
Vietnam,"
total: 195,468 km
paved: 148,338 km
unpaved: 47,130 km (2013)
"
Virgin Islands,"
total: 1,260 km (2008)
"
West Bank,"
total: 4,686 km
paved: 4,686 km
note: includes Gaza Strip (2010)
"
World,"
total: 64,285,009 km (2013)
"
Yemen,"
total: 71,300 km
paved: 6,200 km
unpaved: 65,100 km (2005)
"
Zambia,"
total: 40,454 km
paved: 9,403 km
unpaved: 31,051 km (2005)
"
Zimbabwe,"
total: 97,267 km
paved: 18,481 km
unpaved: 78,786 km (2002)
"
